0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/images2/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/images2/img_avatar2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:22 +0530] "GET /ShoppingCartProject/Resource/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:52 +0530] "GET /ShoppingCartProject/ HTTP/1.1" 200 60095
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:53 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:53 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:53 +0530] "GET /ShoppingCartProject/Resource/images2/star-.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:23:53 +0530] "GET /ShoppingCartProject/Resource/images2/star.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:06 +0530] "GET /ShoppingCartProject/register HTTP/1.1" 200 11825
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:06 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:06 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:46 +0530] "POST /ShoppingCartProject/register HTTP/1.1" 200 11890
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:46 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:24:46 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:25:57 +0530] "GET /ShoppingCartProject/register HTTP/1.1" 200 11825
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:25:57 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:25:57 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:26:40 +0530] "POST /ShoppingCartProject/register HTTP/1.1" 200 60095
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:26:43 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:26:43 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:26:43 +0530] "GET /ShoppingCartProject/Resource/images2/star-.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:26:43 +0530] "GET /ShoppingCartProject/Resource/images2/star.png HTTP/1.1" 404 992
